"scientificname","commonname","aphiaid","tsn","taxonstatus","aphiaidaccepted","scientificnameaccpt","classname","ordername","family","genus","species"
Mugil cephalus,striped mullet,"126983","170335",accepted,"126983",Mugil cephalus,Actinopteri,Mugiliformes,Mugilidae,Mugil,cephalus
Sphyrna lewini,scalloped hammerhead,"105816","160508",accepted,"105816",Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,lewini
Sciaenops ocellatus,red drum,"159335","169290",accepted,"159335",Sciaenops ocellatus,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Sciaenops,ocellatus
Pomatomus saltatrix,bluefish,"151482","168559",accepted,"151482",Pomatomus saltatrix,Actinopteri,Scombriformes,Pomatomidae,Pomatomus,saltatrix
Pseudupeneus maculatus,spotted goatfish,"159421","169421",accepted,"159421",Pseudupeneus maculatus,Actinopteri,Mulliformes,Mullidae,Pseudupeneus,maculatus
Dasyatis centroura,roughtail stingray,"105850","160952",unaccepted,"1017389",Bathytoshia centroura,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,centroura
Epinephelus striatus,Nassau grouper,"159222","167706",accepted,"159222",Epinephelus striatus,Teleostei,Perciformes,Serranidae,Epinephelus,striatus
Rhinoptera brasiliensis,Brazilian cownose ray,"271495","160986",accepted,"271495",Rhinoptera brasiliensis,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,brasiliensis
Sphyraena barracuda,barracuda,"345843",,accepted,"345843",Sphyraena barracuda,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,barracuda
Gymnothorax funebris,green moray,"158583","161186",accepted,"158583",Gymnothorax funebris,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,funebris
Galeocerdo cuvier,tiger shark,"105799","160189",accepted,"105799",Galeocerdo cuvier,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Galeocerdo,cuvier
Lutjanus synagris,lane snapper,"159800","168860",accepted,"159800",Lutjanus synagris,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,synagris
Menticirrhus littoralis,Gulf kingcroaker,"159327","169275",accepted,"159327",Menticirrhus littoralis,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,littoralis
Paralichthys lethostigma,southern flounder,"158829","172738",accepted,"158829",Paralichthys lethostigma,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,lethostigma
Alligator mississippiensis,American alligator,"886665",,accepted,"886665",Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis
Carcharodon carcharias,white shark,"105838","159903",accepted,"105838",Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,carcharias
Gymnura micrura,smooth butterfly ray,"158529","160962",accepted,"158529",Gymnura micrura,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,micrura
Mycteroperca bonaci,black grouper,"159231","167760",accepted,"159231",Mycteroperca bonaci,Actinopteri,Perciformes,Serranidae,Mycteroperca,bonaci
Seriola dumerili,Greater Amberjack,"126816","168689",accepted,"126816",Seriola dumerili,Actinopteri,Carangiformes,Carangidae,Seriola,dumerili
